start_index,entry,sl,tp,type,order,reward,risk,commision,lot,entry_index,entry_date,res,end_index,RR,R1,end_date
2342,1288.74,1282.74,1294.74,market,buy,6.0,6.0,0.16,0.01,2342,2019-01-03 16:04:00,No res,2342,1.0,6.0,2019-01-03 16:04:00
2343,1289.055,1283.055,1295.055,market,buy,6.0,6.0,0.16,0.01,2343,2019-01-03 16:05:00,No res,2343,1.0,6.0,2019-01-03 16:05:00
2349,1289.422,1283.422,1295.422,market,buy,6.0,6.0,0.16,0.01,2349,2019-01-03 16:11:00,No res,2349,1.0,6.0,2019-01-03 16:11:00
2360,1289.329,1283.329,1295.329,market,buy,6.0,6.0,0.16,0.01,2360,2019-01-03 16:22:00,No res,2360,1.0,6.0,2019-01-03 16:22:00
2370,1290.116,1284.116,1296.116,market,buy,6.0,6.0,0.16,0.01,2370,2019-01-03 16:32:00,No res,2370,1.0,6.0,2019-01-03 16:32:00
2371,1290.505,1284.505,1296.505,market,buy,6.0,6.0,0.16,0.01,2371,2019-01-03 16:33:00,No res,2371,1.0,6.0,2019-01-03 16:33:00
2372,1290.024,1284.024,1296.024,market,buy,6.0,6.0,0.16,0.01,2372,2019-01-03 16:34:00,No res,2372,1.0,6.0,2019-01-03 16:34:00
2373,1290.239,1284.239,1296.239,market,buy,6.0,6.0,0.16,0.01,2373,2019-01-03 16:35:00,No res,2373,1.0,6.0,2019-01-03 16:35:00
2378,1289.645,1283.645,1295.645,market,buy,6.0,6.0,0.16,0.01,2378,2019-01-03 16:40:00,No res,2378,1.0,6.0,2019-01-03 16:40:00
2381,1289.708,1283.708,1295.708,market,buy,6.0,6.0,0.16,0.01,2381,2019-01-03 16:43:00,No res,2381,1.0,6.0,2019-01-03 16:43:00
2383,1289.038,1283.038,1295.038,market,buy,6.0,6.0,0.16,0.01,2383,2019-01-03 16:45:00,No res,2383,1.0,6.0,2019-01-03 16:45:00
2384,1289.134,1283.134,1295.134,market,buy,6.0,6.0,0.16,0.01,2384,2019-01-03 16:46:00,No res,2384,1.0,6.0,2019-01-03 16:46:00
2387,1288.896,1282.896,1294.896,market,buy,6.0,6.0,0.16,0.01,2387,2019-01-03 16:49:00,No res,2387,1.0,6.0,2019-01-03 16:49:00
2389,1288.767,1282.767,1294.767,market,buy,6.0,6.0,0.16,0.01,2389,2019-01-03 16:51:00,No res,2389,1.0,6.0,2019-01-03 16:51:00
2393,1288.687,1282.687,1294.687,market,buy,6.0,6.0,0.16,0.01,2393,2019-01-03 16:55:00,No res,2393,1.0,6.0,2019-01-03 16:55:00
2397,1289.24,1283.24,1295.24,market,buy,6.0,6.0,0.16,0.01,2397,2019-01-03 16:59:00,No res,2397,1.0,6.0,2019-01-03 16:59:00
2398,1289.223,1283.223,1295.223,market,buy,6.0,6.0,0.16,0.01,2398,2019-01-03 17:00:00,No res,2398,1.0,6.0,2019-01-03 17:00:00
2399,1289.105,1283.105,1295.105,market,buy,6.0,6.0,0.16,0.01,2399,2019-01-03 17:01:00,No res,2399,1.0,6.0,2019-01-03 17:01:00
2435,1290.161,1284.161,1296.161,market,buy,6.0,6.0,0.16,0.01,2435,2019-01-03 17:37:00,No res,2435,1.0,6.0,2019-01-03 17:37:00
2438,1290.094,1284.094,1296.094,market,buy,6.0,6.0,0.16,0.01,2438,2019-01-03 17:40:00,No res,2438,1.0,6.0,2019-01-03 17:40:00
2447,1290.316,1284.316,1296.316,market,buy,6.0,6.0,0.16,0.01,2447,2019-01-03 17:49:00,No res,2447,1.0,6.0,2019-01-03 17:49:00
2448,1290.367,1284.367,1296.367,market,buy,6.0,6.0,0.16,0.01,2448,2019-01-03 17:50:00,No res,2448,1.0,6.0,2019-01-03 17:50:00
2451,1290.334,1284.334,1296.334,market,buy,6.0,6.0,0.16,0.01,2451,2019-01-03 17:53:00,No res,2451,1.0,6.0,2019-01-03 17:53:00
2456,1290.183,1284.183,1296.183,market,buy,6.0,6.0,0.16,0.01,2456,2019-01-03 17:58:00,No res,2456,1.0,6.0,2019-01-03 17:58:00
2469,1291.313,1285.313,1297.313,market,buy,6.0,6.0,0.16,0.01,2469,2019-01-03 18:11:00,No res,2469,1.0,6.0,2019-01-03 18:11:00
2471,1291.019,1285.019,1297.019,market,buy,6.0,6.0,0.16,0.01,2471,2019-01-03 18:13:00,No res,2471,1.0,6.0,2019-01-03 18:13:00
2472,1290.954,1284.954,1296.954,market,buy,6.0,6.0,0.16,0.01,2472,2019-01-03 18:14:00,No res,2472,1.0,6.0,2019-01-03 18:14:00
2473,1291.084,1285.084,1297.084,market,buy,6.0,6.0,0.16,0.01,2473,2019-01-03 18:15:00,No res,2473,1.0,6.0,2019-01-03 18:15:00
2481,1291.665,1285.665,1297.665,market,buy,6.0,6.0,0.16,0.01,2481,2019-01-03 18:23:00,No res,2481,1.0,6.0,2019-01-03 18:23:00
2486,1291.947,1285.947,1297.947,market,buy,6.0,6.0,0.16,0.01,2486,2019-01-03 18:28:00,No res,2486,1.0,6.0,2019-01-03 18:28:00
2489,1292.598,1286.598,1298.598,market,buy,6.0,6.0,0.16,0.01,2489,2019-01-03 18:31:00,No res,2489,1.0,6.0,2019-01-03 18:31:00
